OBJECTID,ClassName,ClassValue,ORIG_FID,B2,B3,B4,B8,CMRI,EVI,GNDVI,NDVI,NDWI,SAVI,VV,GLCM_Mean,GLCM_Homogeinity,GLCM_Entropy,GLCM_Correlation
539,Dense_Mangrove,5,683,0.0178,0.030999999,0.019200001,0.218799993,1.590456843,0.415660113,0.751801431,0.838655472,0.235059738,0.405691057,-8.902605057,28.16428566,0.477916211,6.888175964,0.965936363
540,Dense_Mangrove,5,684,0.018300001,0.0294,0.018200001,0.220400006,1.612055063,0.423952699,0.764611721,0.847443402,0.235294104,0.41064176,-7.624314785,29.6785717,0.758830011,5.140241623,0.988671958
541,Dense_Mangrove,5,685,0.0154,0.0253,0.021600001,0.220599994,1.615860343,0.402931869,0.794225276,0.821635008,0.07889124,0.402182698,-8.510238647,21.77857208,0.833086371,5.060210705,0.971142292
542,Dense_Mangrove,5,686,0.0119,0.0277,0.015900001,0.256999999,1.688882947,0.477180064,0.805409193,0.883473814,0.270642161,0.467913061,-7.73709774,25.19285774,0.52973783,6.687167168,0.964277148
543,Dense_Mangrove,5,687,0.0121,0.032000002,0.017999999,0.239199996,1.624042869,0.440128922,0.7640118,0.860031128,0.280000031,0.438193351,-10.42530727,19.3571434,0.645976126,5.593167305,0.949434519
544,Dense_Mangrove,5,688,0.0093,0.031599998,0.0164,0.268599987,1.674385905,0.486028105,0.789473712,0.884912252,0.316666633,0.481910825,-8.071184158,27.19285774,0.550814748,6.27725935,0.967335045
545,Dense_Mangrove,5,689,0.012,0.034699999,0.0208,0.216999993,1.549337983,0.391835749,0.724274933,0.82506305,0.250450432,0.398888588,-7.849739552,28.91428566,0.542225182,6.304599285,0.974482656
546,Dense_Mangrove,5,690,0.0174,0.035,0.0208,0.237000003,1.581281662,0.43896696,0.742647052,0.83863461,0.254480302,0.427949339,-6.619506836,35.6071434,0.812538087,5.051632881,0.987912536
547,Dense_Mangrove,5,691,0.019200001,0.035399999,0.0217,0.228,1.557398677,0.424765289,0.731207311,0.826191425,0.239929929,0.412765115,-7.52774334,32.75,0.481954992,6.776382446,0.978439093
548,Dense_Mangrove,5,692,0.0229,0.0339,0.0232,0.243799999,1.58206892,0.455314755,0.755851626,0.826217234,0.187390551,0.431421131,-8.067482948,29.47857094,0.863755643,4.419863701,0.989427745
