Month,Direction,Speed
JAN,302.2380952,3.933333333
FEB,319.0190476,3.37
MAR,278.4142857,3.078095238
APR,219.3761905,3.31047619
MAY,192.2047619,3.669047619
JUN,182.2380952,4.813333333
JUL,178.8238095,5.292857143
AUG,178.7047619,4.747142857
SEP,178.5857143,3.880952381
OCT,179.6285714,3.216190476
NOV,237.447619,3.33952381
DEC,221.147619,3.617619048
